,business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,rating,reference,scope,types,user_ratings_total,vicinity,price_level,permanently_closed
98,OPERATIONAL,"{'location': {'lat': 45.4072185, 'lng': 11.8593702}, 'viewport': {'northeast': {'lat': 45.4085537802915, 'lng': 11.8604794302915}, 'southwest': {'lat': 45.40585581970851, 'lng': 11.8577814697085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bar-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/bar_pinlet,Bar Palestro,{'open_now': False},"[{'height': 2268, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114050182429636829771"">Bar Palestro</a>'], 'photo_reference': 'ATKogpdv6zz_Fo67YHCd_u7U0wvRYcGlSwh23REdUhqqlGn0HmkNh4wjtOZ5Z4ixJwAIhdjW6kfU5NkMU3Cki-Cnb1RAinl0m1pABP-Fi3dUDvCXEpS3hi2343E3HGrOz14_dinSfe6WFVt-mlxmrMHxKpbY_iedUcKpUwRrmPtL7yvdEWgBpN4Jg9L5OqoZQa5jFr12PcIVtN3lKsu-xMazRKugo8UivVJVBkRMdpKNxSFmbZg3shCUiQtXRyAHg8KIMGrdc8d8hNY9DNu1lhyHh_P9SKXhoObUDiHwHIkkZxPt7ip7x3OI_sWLRxUL58haRpGeSYyqW7s', 'width': 4032}]",ChIJt4xb_jbafkcR92LZ7uPUm14,"{'compound_code': 'CV45+VP Padua, Province of Padua, Italy', 'global_code': '8FQHCV45+VP'}",4.3,ChIJt4xb_jbafkcR92LZ7uPUm14,GOOGLE,"['bar', 'bakery', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']",119.0,"Via Palestro, 24, Padova",2.0,
99,OPERATIONAL,"{'location': {'lat': 45.4111771, 'lng': 11.8636049}, 'viewport': {'northeast': {'lat': 45.4125587802915, 'lng': 11.86510863029151}, 'southwest': {'lat': 45.4098608197085, 'lng': 11.8624106697085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Ristorante Pizzeria S'Aligusta,{'open_now': True},"[{'height': 6656, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101766225709484007997"">Ristorante Pizzeria S&#39;Aligusta</a>'], 'photo_reference': 'ATKogpeArVWm8zj6q61bk0JQ2y9lmeojIYUfATiItRgIc1ofXSwWJs9-JZNt0-lDW_NlNV8x7xbCYhuRyhCbgdAZZif3AG1FpMs3T1TreTephPXk8c9oPFYe2nmpLlxVJDsEWT_pJu5XTZCtnCOyMdqA7Rh2JvZlqJQmmZcGsDoNwAiIoOxcF_2YkPcR45Cw4CSWHpAnej5jKNsAXxbeHwu5R4bSGDj1p64R_tWz7jWf_sXLYjpvYa5QIlouGvm1LVeb3uMviFWyQiABrjggM_hEunEkWbOG5RrSRl91MO60ZRHZAIRT-XesLrTGDDD-zrVB18UHhn03rN8', 'width': 13312}]",ChIJJToBMkjafkcRaOJL3AT3ThA,"{'compound_code': 'CV67+FC Padua, Province of Padua, Italy', 'global_code': '8FQHCV67+FC'}",4.1,ChIJJToBMkjafkcRaOJL3AT3ThA,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",914.0,"Via Volturno, 4, Padova",2.0,
100,OPERATIONAL,"{'location': {'lat': 45.407864, 'lng': 11.8538682}, 'viewport': {'northeast': {'lat': 45.40920098029149, 'lng': 11.8552611802915}, 'southwest': {'lat': 45.4065030197085, 'lng': 11.8525632197085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Radio City Music Padova,{'open_now': False},"[{'height': 399, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116390330370415553066"">Radio City Music Padova</a>'], 'photo_reference': 'ATKogpePGiEXc9Yq1GFJg0OHXccwFGcjoRYCQ022fFgrT_FQApbkbDs1SaHduuahfjOG4Lbyuq5vVLzeFATT2e87RGIO2sB_gqbDrGEa53L5TluAeTBHSRRxQ-5Tv27CYOgqCS7OgW2MWeDIzTVwMlzOc9kAuTZkyTKD7GtAvwrZw6wSRT_B1QG9EoYwsukWGYE26nAumzdpYCJwOPc9AexorDHnz6smBSLSqKCyfTvAg7Mjr0nIga1824Te-kUkMETny1SyH8cz0kdEv7cVRbQtKHXk-NI0ONjtS4xpH4htTOzh8-Ovke7YMheEtEZd8ZBmWnqOTAYjZM8', 'width': 594}]",ChIJ5z92x7DbfkcRkQO5jLe7XA4,"{'compound_code': 'CV53+4G Padua, Province of Padua, Italy', 'global_code': '8FQHCV53+4G'}",4.0,ChIJ5z92x7DbfkcRkQO5jLe7XA4,GOOGLE,"['restaurant', 'night_club', 'bar', 'food', 'point_of_interest', 'establishment']",456.0,"Via Palestro, 62, Padova",2.0,
101,OPERATIONAL,"{'location': {'lat': 45.407193, 'lng': 11.860122}, 'viewport': {'northeast': {'lat': 45.4085056802915, 'lng': 11.8614497302915}, 'southwest': {'lat': 45.4058077197085, 'lng': 11.8587517697085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Pizzeria Da Giorgia,{'open_now': True},"[{'height': 3840, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114348632666934221059"">Pizzeria Da Giorgia</a>'], 'photo_reference': 'ATKogpd0VgyAKAZU3_BYAJG_rUMUWyIgLopScI-Wa1PXXCKsb0yuMY5CyuKJ5OuosSXoW-NZBxszVOnMd1TsWVQTyX9jtL30roVUb8y7YMLHsoSSVDwqy6odN84x1Vyr_YwwEwGyeCWbc9zx8ZpThUGz-d8uuC2XGnb80Ls1wzVUJlhrrcwUCcU90DaGwBmTHvugT8MGrje0y31Hqb006mzhOy1gZHpIwQ1YmVswzO1Q0TyJ_cis8iDYMkZ0xrVn70yqgqpM7Q18Q51UJLFvHAJTiusAq1a3FsY6CqT6NZmQg6_SrIIVFMCJWuPTYTrcdGVq90Y_tg6G6Xc', 'width': 5585}]",ChIJI7PAUzbafkcRMTDjHU9OScI,"{'compound_code': 'CV46+V2 Padua, Province of Padua, Italy', 'global_code': '8FQHCV46+V2'}",4.2,ChIJI7PAUzbafkcRMTDjHU9OScI,GOOGLE,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",738.0,"Via Palestro, 20, Padova",1.0,
102,OPERATIONAL,"{'location': {'lat': 45.4115755, 'lng': 11.8634704}, 'viewport': {'northeast': {'lat': 45.4129433802915, 'lng': 11.8648315802915}, 'southwest': {'lat': 45.4102454197085, 'lng': 11.8621336197085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,So Restaurant Padova,{'open_now': True},"[{'height': 7708, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108414391916839675057"">So Restaurant Padova</a>'], 'photo_reference': 'ATKogpcGyAHtKDvmH9CKRD9Ie-7gzS_iR9zFrkTwNMF4aUyDOx0IRoQtm2UesY_kCVxiV8Cl_fibamjGZ21q9qYVdzJBAgtbrNBNN3CYqujqqTPAHrsQgGA1jCtOfC1N51-DgTdRjvErPSnNX3Y3qtTFQusVDRoBBB7kleXa3IiP6DEZwfMDAzIrc7MxTU-uSpQZsEkxRAyL-fbjRvEuCzDQhtOkD0l8WWP5n74cbh6ctwMyccBRjgexzJmP6YiL1IDePjVgYFHPFsdUaE5lCJpxrO4ypceiMsoa84OfyPaFBGlPF0n-NxtMsUdvl2sM-B8gR13KJAiHeNY', 'width': 6166}]",ChIJ02fS7q_bfkcRCy_5f_aczIQ,"{'compound_code': 'CV67+J9 Padua, Province of Padua, Italy', 'global_code': '8FQHCV67+J9'}",4.2,ChIJ02fS7q_bfkcRCy_5f_aczIQ,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",580.0,"Via Volturno, 1, Padova",2.0,
103,OPERATIONAL,"{'location': {'lat': 45.4068192, 'lng': 11.8600988}, 'viewport': {'northeast': {'lat': 45.4083179302915, 'lng': 11.8614599302915}, 'southwest': {'lat': 45.4056199697085, 'lng': 11.8587619697085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Osteria Sucabaruca,{'open_now': False},"[{'height': 660, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111391135080399967956"">Osteria Sucabaruca</a>'], 'photo_reference': 'ATKogpeXhqFLiF9KhgrZcg3OHf2FP3VnWfpitUlSAD7icFH4Xm9tLTXaAMwtzfOluRIxBviP4-vLGjxnxxcIFbJJyABqfrWJHI-OvZtOhiIlrI-YU1EsliyAM_p8HgK4biToaxrk1KX3TPO1zrRs1Hs4rWpTU1gc4m2MP1iLr-9g0qiG-TLpB8Qe4iIOS0YSvaQ4sPfKhKAIwD2gh3fr6IkkHZ2jtwLcNoC6usNlekyFUssFnizpYreG50RNjkG7HXjgtmLjvO82qM3wojcn_udjniZpDQ54bywr9LxyNvIdx9mvEiw44p5JojHNSrhmmd8qhtSXFO9Xh8Y', 'width': 1170}]",ChIJxR4UUjbafkcRgJHdST3PT0c,"{'compound_code': 'CV46+P2 Padua, Province of Padua, Italy', 'global_code': '8FQHCV46+P2'}",4.5,ChIJxR4UUjbafkcRgJHdST3PT0c,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",673.0,"Via Palestro, 29, Padova",2.0,
104,CLOSED_TEMPORARILY,"{'location': {'lat': 45.4156277, 'lng': 11.8631484}, 'viewport': {'northeast': {'lat': 45.4170560302915, 'lng': 11.8644947302915}, 'southwest': {'lat': 45.41435806970851, 'lng': 11.8617967697085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bar-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/bar_pinlet,Birreria Carini Padova,,"[{'height': 2322, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103314771179154080115"">Daniele</a>'], 'photo_reference': 'ATKogpeuVZq_8fYQHfaInYy7thSYrAExV6T9EI7EUgg2Pib3s6Ondv_Nhc55rlT16AZHCGfGVQ-myLboW-2b6uCKm9vfiU_CiDGTAb5CskBWXyWGabi-ifRazmr82W69FY4T1I55xA34Xrbue7nV9SeLpe0uNcsWYcJ7atDvUvFfttgEPE-P6GRu9syZ5hrZXZineR_NmxASbTRKLnirQCH3IrFMrHkg38lywBynlea0OStM6i5T73qe3_Zp5v-r2MnThssj0dOjo891m1-FV7RCE6zX9icGqB7c63owcANfBCKASVLOkr1BOScDRELLb2QitLFbNud1PetGVnFc3-XDwSOHDC6H88SY72cXjmwvf0Pb5SsmpiIYNqeT2Z9oLpUBiteEk4aAnb_VOJ2d3gzZ_JRibf3er4IpRzYRIBGIInu1ykENR5obIMSWQL2j3yZKWhp4CX8mGUze6FzHKSYQ-DQ_0TBIgVUodAVe-zfMov442zc7O-lvk1HRL2_raSVj1sz22W2y2-251PizpnvAxEY-h16evzedRbmNnBoafStDzpOqnqRN7svKBbl38rDCG6w8jBKhDSDsOgPmAEoyuKMIzto61_h-5HBVV2JC9Bi3Ay6qALs3YgfNC2iri8U7-yjFsBTi', 'width': 4128}]",ChIJOxbYlD7afkcROYtyUw_DaMI,"{'compound_code': 'CV87+77 Padua, Province of Padua, Italy', 'global_code': '8FQHCV87+77'}",4.0,ChIJOxbYlD7afkcROYtyUw_DaMI,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",2396.0,"Via Giacinto Carini, 15, Padova",2.0,True
105,OPERATIONAL,"{'location': {'lat': 45.4156524, 'lng': 11.8635104}, 'viewport': {'northeast': {'lat': 45.4170713802915, 'lng': 11.8645977302915}, 'southwest': {'lat': 45.4143734197085, 'lng': 11.8618997697085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bar-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/bar_pinlet,Bamboo Cafe,{'open_now': True},"[{'height': 3888, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113957993333350311196"">Bamboo Cafè</a>'], 'photo_reference': 'ATKogpesA8UDcFIU1TiTLRFyHDRnXshkl3zVsNI6viRscCKw_g_x_wIgE0_G7zYPblBvHJfDeXYJme0a1myMVew86165geFtv6WTLByTR1C8cWYsagvZ-6AqHFX-wW-foV0NsmNLLgVJtgf9vEcASALdg8Cn7i4VcpyCrFnR0TnkpMajvtshTtOaPvYj9hIbWVN28SrQXEQ1_fogxokgqEqh9t3uqHJa6kSwjGiAYvAL0i4YEbVfryXQdqhFaoGVFi6Xqn8mrflniKgoKoTDMOeBeilTgWum6iKc5kx6EK5IkcwBG-V-E9aemEXoPmccNeIUcoCkFbE6yjs', 'width': 5184}]",ChIJ-y2_lD7afkcRfuWr-pW2IEU,"{'compound_code': 'CV87+7C Padua, Province of Padua, Italy', 'global_code': '8FQHCV87+7C'}",4.3,ChIJ-y2_lD7afkcRfuWr-pW2IEU,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1046.0,"Via Giacinto Carini, 5, Padova",2.0,
107,OPERATIONAL,"{'location': {'lat': 45.412374, 'lng': 11.8652508}, 'viewport': {'northeast': {'lat': 45.4137158802915, 'lng': 11.8665013302915}, 'southwest': {'lat': 45.4110179197085, 'lng': 11.8638033697085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Masa Sushi,{'open_now': False},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102233780887990685551"">Puffo Quattrocchi</a>'], 'photo_reference': 'ATKogpexVn_j7ooGvz6x4Q586LaDSiEBrDHyx4RGQ0qOaJqXFUTq12WISH693kgnpEWnsI1oK19075egOKxzDzkf7q_qvrLIXLy3ia0bER4DtCqvGeg3NAJMZ97tL26lwyhiUp7tCqPht0t-kVklYX9GTRbIYnHKcR-_tYcrRDYb0QoOPs0T16EDn7ymF5y7yYiXLZ44yWUydYg_uOjS1OFiKI_oHOE4eJca_Imkx-E3haCPEUat9LLXKBGbj4wF3r_GX8JI2xppd3zBMSV0eU4kpWvlGofAJBLhV4Dwd7TuwPPb9E4FEu-xfuBR52r7nExRom7EXd_f46jB7PauV5_aqb4yBZoreQFvjrblYbl7HSU-lcxCOyyjllMv8xsMtyGLT8cTQz7w3MK-nJqPRQdVZUvHCu-iYrQu8O-P3xMmBmCDHI_5wiY6wsnz9JRXX4KE4ab6mugzlXCPAB0SLqx2Wmzog5DNIxj0RyEL6IuK1d-zZpHpiwlH45aQprZIt2fY84cXG3uUIsFmVAL8enxc8Ha0qsoN-KxH0GenTcn27iAKlCrBvPjEYjzulQ9h2AnQXRPogCNmzDfIc4nzjskC79ngv4-7MhvmkBCvZQNGdhxSliqgvPgcPsFrisNyn6Cj_fVX0w', 'width': 3024}]",ChIJcXwonjjafkcRlRBuQK-Xe_Y,"{'compound_code': 'CV68+W4 Padua, Province of Padua, Italy', 'global_code': '8FQHCV68+W4'}",4.5,ChIJcXwonjjafkcRlRBuQK-Xe_Y,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",889.0,"Via Raggio di Sole, 45, Padova",2.0,
108,OPERATIONAL,"{'location': {'lat': 45.4156625, 'lng': 11.8636391}, 'viewport': {'northeast': {'lat': 45.41704628029149, 'lng': 11.8647321302915}, 'southwest': {'lat': 45.41434831970849, 'lng': 11.8620341697085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Bamboo VolumeDue,{'open_now': True},"[{'height': 3213, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113114805921783681950"">Massimo De Palo</a>'], 'photo_reference': 'ATKogpfEXggH-o6dhlWb-51Qvh4fWGskMViZsvv4iRPoLbSZvQ3A_4l7es_3NivVWrKaqWCO-XS6JoxdgofZhTPx2Yf8VZ85shnIXQoEKF_g54unw0asCsVc3cf8Z6XuO08nukdE_YbZSMLNDAPSaOP3nlbHnNRg01NcmVBezO3loh5WplfHUlxSHp8HeeI8AaM9bhvXpNHyo5eSpEpFP2UMdo5Rp3FtEnLzWHfKrAno-4YQOOu3jf57k2JxoxdvOnbQmFu31312UMmpmX6yjzhfqaVxRJ35NsumqZgqK_X9IYwuvyThQhkHyGIx9R29dDugzCw0o13qrq_kaHL0Ae9vu6B2UoBVDgZjFZ4ZnlXSYbbVyVVniLzYyX7MnAj0dXa43e6F6InmDsVQ-KTHPCcJh_jY5UZ_H4h8_yzkYx3hvJm-_cDH4N5E1RPPMnYWzWy4p4K3dmaBcuJOWI483IZe76DiEb6wqH_iq0ql3HYxvwv42jbnAQle0EQt2bJVS9agtu3y3MOEXZWoG7pKggqMrsRaAX73_b37AamTnDJvc0DUyG395Ctggmi7JAv6Oe1FBoiu0nOCwxc-n3boxnPLZPi3RXNgqc1JXe8AhrWNJy_RVCrc0WZdbf0Ax-vQWJD8', 'width': 5712}]",ChIJnQJ-5MvbfkcRzvXDa4JRdO4,"{'compound_code': 'CV87+7F Padua, Province of Padua, Italy', 'global_code': '8FQHCV87+7F'}",4.6,ChIJnQJ-5MvbfkcRzvXDa4JRdO4,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",220.0,"Via Giacinto Carini, 1, Padova",,
109,OPERATIONAL,"{'location': {'lat': 45.41490959999999, 'lng': 11.8640937}, 'viewport': {'northeast': {'lat': 45.4162071302915, 'lng': 11.8655364802915}, 'southwest': {'lat': 45.4135091697085, 'lng': 11.8628385197085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Ristorante Bronzetti,{'open_now': True},"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106215904033547942941"">Ristorante Bronzetti</a>'], 'photo_reference': 'ATKogpdHZsosvfP6G4JE6rCI-8MYZdBW7f8oQmx3FtXAcBmEsFzlqpAPOd_p8vU_Yyp6mgUropkB8wgZikvCol5BXf4hfJiIhFqKQ4f4BAlZqJn9ZeqQCzvss-fabus7qkJx-qu0ByaGkcJlSpX9FNlL8HvNfXLx7FiNZWzgbUh1ITN5qHcaLAC7EUMHJ4YjjWns0GOvZAkKsP37Plgt5YZ6QyJ605qJk8MAl--ztnkDEaQbIkgq4uEQeCaz6_4455etLROQdNT2oS4ZUuS8_x5ISDVv1FzCIanvWJHIpIBIAn_O5gUyHCQhgHy7HHbSqOMjWKNDkjCOQ6U', 'width': 1080}]",ChIJQ6u-KQDbfkcRTYhkb5EEtX4,"{'compound_code': 'CV77+XJ Padua, Province of Padua, Italy', 'global_code': '8FQHCV77+XJ'}",4.1,ChIJQ6u-KQDbfkcRTYhkb5EEtX4,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",134.0,"Via Pilade Bronzetti, 34, Padova",2.0,
110,CLOSED_TEMPORARILY,"{'location': {'lat': 45.4156229, 'lng': 11.8627302}, 'viewport': {'northeast': {'lat': 45.4170501802915, 'lng': 11.8642049802915}, 'southwest': {'lat': 45.4143522197085, 'lng': 11.8615070197085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,AKASAKA | sushi - fusion,,"[{'height': 809, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116000021196660757064"">AKASAKA | sushi - fusion</a>'], 'photo_reference': 'ATKogpcloA2eBVqfKZZ4mtt-FhLliAMVDQSMn7vhkpFaW5C292i6bcYukHKZfgRqcNX2y2SkURj-okypOBlTXSBboqiWycmUJQXwLx3aZdz3lyRrxanHlGF4yjuVYZy9UsUkQ6ubtDnC3ZORIGkLteacpjixaav4E6iBlINy-kQfvFy9U_Ht0abSS5fCCQCjl-j8mp23gu23djDCp95qCiN6cKrOhcPnSR1YRRq9KWyI81VcxedtdNy6oSmgbeqkB97GGHU9uO-ynjxXWg3keLv0Au3Br0_033RJTBGAgabeIyi9WuzcE04sdtKTy_hbnPIawH7XzlkXajc', 'width': 1440}]",ChIJwyou4T7afkcRMAb1IkQjvJ0,"{'compound_code': 'CV87+63 Padua, Province of Padua, Italy', 'global_code': '8FQHCV87+63'}",4.5,ChIJwyou4T7afkcRMAb1IkQjvJ0,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",213.0,"Via Giacinto Carini, 19, Padova",2.0,True
111,OPERATIONAL,"{'location': {'lat': 45.4164747, 'lng': 11.8630943}, 'viewport': {'northeast': {'lat': 45.41780988029149, 'lng': 11.8644920802915}, 'southwest': {'lat': 45.41511191970849, 'lng': 11.8617941197085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,GingerGi VeggiePop restaurant,{'open_now': False},"[{'height': 810, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112976341684671927606"">GingerGi VeggiePop restaurant</a>'], 'photo_reference': 'ATKogpe_773r5DXPRyWsbOfxKnNhD8805bqbBH4kYN-idFCNUmtr1eTVVaU4_4fhpbFzGEKHMp6MJIBnh7oN2ov-iRw2toq85PqM3sPaDOiR5LDdVtjTYmR6qzqUhcq7klySGpMf6WmnmffCHhtvYYvhi_7xnSAMTwnBtQ5KCa2SiMs6F40ygYR--7-bKdHFx0T8fQFCsh2cQF_SeYti6ZZodMkSIv5LTbZIqHIaU4uo-KEV3JdlZg54BoZzyO4OdxPcAlYfQayzUEdnJrdO7YHaFUi7qu-ItIA0WE4t87ETfZW3C0JEBgARX6OeCGmzMk0Xtj6MSZGn8oE', 'width': 1080}]",ChIJG7UGxAnbfkcREudGKik5bY4,"{'compound_code': 'CV87+H6 Padua, Province of Padua, Italy', 'global_code': '8FQHCV87+H6'}",4.6,ChIJG7UGxAnbfkcREudGKik5bY4,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",639.0,"Via Pilade Bronzetti, 18, Padova",2.0,
113,OPERATIONAL,"{'location': {'lat': 45.411983, 'lng': 11.8669935}, 'viewport': {'northeast': {'lat': 45.4132989302915, 'lng': 11.8683274302915}, 'southwest': {'lat': 45.41060096970851, 'lng': 11.8656294697085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Betty Pizza,{'open_now': True},"[{'height': 2731, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101956911292719981569"">Betty Pizza</a>'], 'photo_reference': 'ATKogpfVdqVeOuF7ifgTmd4yML-5MCSTYSlLKxpa_C4DsQz-nNAlg2F-1oF3_pfD7Xq-GIc9qtWjdvocjYVCoWrubPhb0JPVrY9X53rPkqhFGQUlSMQsH2AYL4NBgXzLoKxeGufIT0jsK3X_ihm7tqsvsK9z-1M6btGhA0eIcO8yKmQw0_HIpqW7CTR7R8e_4E5yI3XAS_zhPWG3Y2qzsR9xh_M33NA4P2siRwmwp5XKlCtlq9j3JvT7RMjS0wxWyJz0F5jPx4VuHnDfWX99P5hB5Cc1Qp_UZKhyH9BzvY3q50umixIQ6QoGu_quRn-FclOLs9hlmJmdCIg', 'width': 4096}]",ChIJ40ZoBUfafkcRp27fTi4oOlo,"{'compound_code': 'CV68+QQ Padua, Province of Padua, Italy', 'global_code': '8FQHCV68+QQ'}",4.4,ChIJ40ZoBUfafkcRp27fTi4oOlo,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",114.0,"Via Savonarola, 208, Padova",1.0,
115,OPERATIONAL,"{'location': {'lat': 45.412374, 'lng': 11.8652508}, 'viewport': {'northeast': {'lat': 45.4137158802915, 'lng': 11.8665013302915}, 'southwest': {'lat': 45.4110179197085, 'lng': 11.8638033697085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,W & H Sas Di Hu Yangli & C.,,,ChIJo1f2ZEfafkcRqzq1l6SpxrI,"{'compound_code': 'CV68+W4 Padua, Province of Padua, Italy', 'global_code': '8FQHCV68+W4'}",5.0,ChIJo1f2ZEfafkcRqzq1l6SpxrI,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1.0,"Via Raggio di Sole, 45, Padova",,
116,OPERATIONAL,"{'location': {'lat': 45.4150735, 'lng': 11.8692875}, 'viewport': {'northeast': {'lat': 45.4164719802915, 'lng': 11.8706912302915}, 'southwest': {'lat': 45.41377401970851, 'lng': 11.8679932697085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pizzeria diva Kebab - Pizzeria da asporto e kebab a domicilio,{'open_now': False},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101016127630944429690"">Alessandro Rosatelli</a>'], 'photo_reference': 'ATKogpfZt-jgte_d-PYoItlZObjcGZh19MsFnINryxzbHNOX0U3ijSBCLzPa2wpapsPN6SikxLyqKBILyMmLDpRrKwkoqb_zdWFYKdREWykxZxhEVtdofhu_tZ961YbJPyzpaSR639ZN0JYG6GWyvYnlgVKWxKWXOalv_nWGDzhoss7DV7ijQ5bortpj109RH_Yx04YHU6uUsd7Xe6ViEnQ8JjDwR7d2cadOGu_tVv2kYWONe-BNQeMvV2V1fSCIeEJA5UsB6a4ld7pgx6AyKMv4pysH09611nZazLZrwivHMSpxJ-yIBxQA1i6Bv4S0fgXPlBkCkPVqUl8ebGUwZtpXEGPhAmoqLCWmn-nnWKwYfxtW4adlzqy_89YMfqyb8BOKc0zxbD5l9ufwBMRbl6TS4ASTVihAlNG8k2XXyzG7DWy2tXgFwOyXB_N94rso8gNc94fs0BhrQyl5FkPJWCGm6xaf0sr1j-n4OJGkemDglP0149FcI1xiCd9IfnuhoZn_ImNO8lPIPqxrRxdDlWaGlfaUKjRe4MPoFjaDuOLgpzZbRhdkbN7MzS1F29dtPe9APfWDixt45wRtlL8Xhymx9_9Suqs6aW7rfK3WWaZI1BQkAQoo1SqNUxzUFQedJziB', 'width': 4032}]",ChIJRTUXHEHafkcRXZyCyOHL4YQ,"{'compound_code': 'CV89+2P Padua, Province of Padua, Italy', 'global_code': '8FQHCV89+2P'}",4.7,ChIJRTUXHEHafkcRXZyCyOHL4YQ,GOOGLE,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",390.0,"Via Beato Pellegrino, 101, Padova",1.0,
